2012-08-20 21:19:29.6451|DEBUG|warnings.util.ServiceArchive|toString
2012-08-20 21:19:32.5682|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5822|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5822|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5972|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5972|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5972|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5972|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5972|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5972|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5972|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5972|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5972|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5972|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.5972|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6102|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6102|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6102|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6102|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6102|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6262|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6262|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6262|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6262|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6262|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6482|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6482|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6482|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6482|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6482|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6482|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6612|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6612|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6612|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6612|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6612|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6612|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6612|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6612|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6612|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6612|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6722|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6722|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6722|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.6722|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.7443|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.7443|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.7443|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.7553|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.7553|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.7553|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.7553|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.7553|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.7553|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.7663|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.7663|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.7663|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.8053|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.8053|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.8053|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
2012-08-20 21:19:32.8053|DEBUG|RefactoringIssues.CodeIssueProvider|codeissues
